Medicare ID,Year,Facility,Address,City,Zip,Health Service Area,FEIN Number,Legal Entity Owner,Ownership,Administrator,Medical Director Name,Property Owner 1,Property Owner 1 Address,Property Owner 1 City,Property Owner 2,Property Owner 2 Address,Property Owner 2 City,Property Owner 3,Related Entity 1,Related Entity 1 Relationship,Related Entity 1 Interest,Related Entity 2,Related Entity 2 Relationship,Related Entity 2 Interest,Related Entity 3,Related Entity 3 Relationship,Related Entity 3 Interest,Related Entity 4,Related Entity 4 Relationship,Related Entity 4 Interest,Related Entity 5,Related Entity 5 Relationship,Related Entity 5 Interest,Full-Time Work Week,Regsitered Nurse FTE,Dialysis Technician FTE,Dietician FTE,Social Worker FTE,LPN FTE,Other Health FTE,Other Non-Health FTE,Total Employees,Personnel Comments,Authorized Stations Start,Certified Stations Start,Authorized Stations End,Certified Stations End,Peak Station Operated,Stations Setup October,Isolation Stations October,In-Center Treatments,Average Treatment Time,Number of Missed Patients,Shifts Monday,Shifts Tuesday,Shifts Wednesday,Shifts Thursday,Shifts Friday,Shifts Saturday,Shifts Sunday,Incenter Nocturnal Dialysis,Hours of Operation Oct 1,Hours of Operation Oct 2,Hours of Operation Oct 3,Hours of Operation Oct 4,Hours of Operation Oct 5,Hours of Operation Oct 6,Hours of Operation Oct 7,Patients Treated Oct 1,Patients Treated Oct 2,Patients Treated Oct 3,Patients Treated Oct 4,Patients Treated Oct 5,Patients Treated Oct 6,Patients Treated Oct 7,Beginning Patients,Ending Patients,Total Patients Treated,Number of New Patients,Number of Transient Patients,Number Patients Re-Started,Number Post-Transplant,Number Recovered,Number of Transplant Recipients,Number Transferred,Number Voluntarily Discontinued,Number Lost to Follow-up,Number of Patients Died,Medicare Patients,Medicaid Patients,Other Public Patients,Private Insurance Patients,Private Pay Patients,Charity Patients,Total Patients Payment,Male Patients Under 14,Female Patients Under 14,Total Under 14,Male Patients 15-44,Female Patients 15-44,Total 15 to 44,Male Patients 45-64,Female Patients 45-64,Total 45 to 64,Male Patients 65-74,Female Patients 65-74,Total 65 to 74,Male Patients 75 and Over,Female Patients 75 and Over,Total 75 and Over,Total Males Age,Total Females Age,Total Patients Age,Asian Patients,American Indian Patients,Black African Patients,Hawaiian Pacific Patients,White Patients,Unknown Race Patients,Total Residents Race,Hispanic Latino Patients,Non-Hispanic Latino Patients,Unknown Ethnicity Patients,Total Residents by Ethnicity,Starting Date,Ending Date,Source of Financial Data,Total Capital Expenditures,Project 1,Project 1 Amount Obligated,Project 1 Financing,Project 1 CON Number,Project 2,Project 2 Amount Obligated,Project 2 Financing,Project 2 CON Number,Project 3,Project 3 Amount Obligated,Project 3 Financing,Project 3 CON Number,Project 4,Project 4 Amount Obligated,Project 4 Financing,Project 4 CON Number,Project 5,Project 5 Amount Obligated,Project 5 Financing,Project 5 CON Number,Project 6,Project 6 Amount Obligated,Project 6 Financing,Project 6 CON Number,Project 7,Project 7 Amount Obligated,Project 7 Financing,Project 7 CON Number,Project 8,Project 8 Amount Obligated,Project 8 Financing,Project 8 CON Number,Project 9 Amount Obligated,Project 10 Amount Obligated,Long-Term Debt,Net Revenue - Medicare,Net Revenue - Medicaid,Net Revenue - Other Public,Net Revenue - Private Insur,Net Revenue - Private Pay,Total Revenue,Medicare Check,Medicaid Check,Other Public Check,Private Insurance Check,Private Pay Check,Actual Cost of Charity Care,Charity Check,Covid,Contact Person,Contact Person Title,Contact Person Telephone,Contact Person Email,Person Certifying,Certifier Title,Certification Date,Comments,Total Treatments
14-2883,2023,Chicago Ridge Dialysis,10511 S Harlem Ave.,Worth,60415,7,46-3080901,DaVita Chicago Ridge Dialysis,Limited Liability Partnership,Michele Lee,Sreya Pallath,Network Commercial Real Estate,7820 Graphics Dr #107,Tinley Park IL 60477,,,,,Cagles Dialysis LLC,Ownership,For Profit Corporation,,,,,,,,,,,,,40,2,6,1,1,0,1,2,13,"1- Other Health - Facility Administrator
2 - Other Non Health - Adminsitrative Assistant, & Biomed",16,16,16,16,16,16,1,210,588,2,2,2,2,2,2,2,0,No,0,11,11,11,11,11,11,0,19,17,19,13,21,16,53,40,,30,17,0,0,2,5,33,8,0,11,55,14,3,7,0,0,79,0,0,0,3,2,5,16,10,26,18,8,26,11,11,22,48,31,79,2,0,15,0,62,0,79,11,68,0,79,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$13,334.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,744864.83,60214.03,1978105.14,511575.07,0,3294759.07,55,14,3,7,0,0,0,,,,,,,,,,5794
14-2749,2023,Churchview,417 Ware Ave,Rockford,61107,1,23-2798598,Renal Treatement Centers of Ilinois,For Profit Corporation,Shawntay Lopez,Charles Sweeney MD,First Midwest Group,6801 Spring Creek Rd,Rockford il 61114,,,,,,,,,,,,,,,,,,,,599.97,5,7,1,1,0,1,1,16,"Other Health related professionals- Biomedical Technictian
Other Health related Professional- Administrative Assistant",24,24,24,24,24,24,0,210,936,3,3,2,3,2,3,2,3,No,0,14,7,14,7,14,7,0,45,9,42,11,45,9,0,0,115,37,4,7,0,3,2,7,6,1,11,89,14,4,8,0,0,115,0,0,0,10,5,15,22,13,35,26,7,33,16,16,32,74,41,115,1,0,24,0,67,23,115,23,92,0,115,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$158,673.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,207490.73,1963330.01,1782766.22,3412653.04,0,7366240,89,14,4,8,0,0,0,,,,,,,,,,10615
14-2633,2023,Circle Medical Management,1426 W. Washington Blvd,Chicago,60607,6,363473095,Circle Medical Management,For Profit Corporation,Sheri Korbet,Stephen Korbet,Respiratory Health,1424 W. Washington Blvd,"Chicago, IL. 60607",,,,,,,,,,,,,,,,,,,,36,5,12,1,1,0,2,7,28,"Health= Biomed Tech, PD/HH Admission Coordinator
Non-Health=Facility Administrator, Accountant, Director of Support Services, Admin Assistants(2), Receptionist, billing Manager",,,,,,,,,,2,2,2,2,2,2,2,0,No,,,,,,,,0,91,91,91,91,91,91,91,92,118,30,2,1,2,4,7,14,0,0,4,54,5,19,40,0,0,118,0,0,0,6,13,19,23,24,47,11,15,26,9,17,26,49,69,118,6,0,85,0,27,0,118,22,96,0,118,1/1/2023,3/31/2023,Review/Compilation of Financial Statements,$-,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,362284.7,29008.15,54805.73,567719.09,4289.86,1018107.53,54,5,19,40,0,0,0,,,,,,,,,,12886
14-2831,2023,Cobblestone Dialysis,836 Dundee Ave.,Elgin,60120,8,95-3372911,Total Renal Care,For Profit Corporation,Tracy Only,Dr. Ravi Damaraju,Palestra Properties,623 Pottstown Pike A,"Exto, PA 19341",,,,,,,,,,,,,,,,,,,,40,3,7,1,1,0,0,3,15,"Administrative Assistance
Biomed
Facility Administrator",16,16,16,16,16,16,0,210,299,6,4,2,4,2,4,2,0,No,0,17,9,17,9,17,9,0,31,22,32,23,33,21,69,65,96,20,4,1,1,0,0,3,1,0,3,40,18,0,34,0,4,96,0,0,0,7,6,13,25,18,43,7,15,22,8,10,18,47,49,96,9,0,16,71,0,,96,56,40,,96,01.01.23,12.31.23,Review/Compilation of Financial Statements,"$9,936.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,816999.47,281499.61,905966.07,3416616.24,,5421081.39,40,18,0,34,0,97560,4,,,,,,,,,,9385
14-2534,2023,Collinsville Dialysis,101 Lanter Court,Collinsville,62234,11,95-3372911,"Total Renal Care,Inc.",For Profit Corporation,Tedra Howell,Sriraj Kanungo,Rosie Cowlen of Cowlen Properties,3 Meadow Acres Lane,"St. Louis, MO 63124",,,,,,,,,,,,,,,,,,,,40,2,3,0.5,1,0,1,0.5,8,"Health related Professional-Facility Administrator
Non-Health Related Professional-Administrative Assistant",8,8,12,12,12,12,1,210,85,2,2,2,2,2,2,2,0,No,0,12,9,12,9,12,9,0,18,14,17,14,17,14,18,35,41,16,0,0,0,0,0,3,3,0,1,33,3,3,1,,1,41,0,0,0,1,1,2,13,3,16,7,3,10,5,8,13,26,15,41,2,0,16,0,23,0,41,2,39,,41,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$6,981.58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,410271.31,36402.79,984946.21,328405.84,0,1760026.15,33,3,3,1,0,1080,1,,,,,,,,,,4425
14-2635,2023,Cook County DBA Provident Dialysis Center,430 E. 50th Place,Chicago,60615,6,36-6006541,Cook County,Government County,Marvinia Anderson,Dr. Kalyani Perumal,Cook County,500 E. 51st Street,"Chicago, IL 60615",,,,,,,,,,,,,,,,,,,,528,2.25,6.7,0.8,0.8,0,1,1.75,13.3,"Administrative Assistant
Facility Manager
Biomed",12,12,12,12,12,11,0,225,524,3,3,2,3,2,3,2,0,No,0,16,12,16,12,16,12,0,28,16,28,14,28,15,36,47,58,21,1,0,0,0,3,7,0,0,1,24,28,0,6,0,0,58,0,0,0,5,3,8,23,10,33,4,6,10,3,4,7,35,23,58,1,0,53,0,4,0,58,4,54,0,58,12/1/2022,11/30/2023,Review/Compilation of Financial Statements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92068,69613,,10204,,171885,24,28,0,6,0,,0,,,,,,,,,,6435
14-2649,2023,Country Hills,4215 W. 167th Street,Country Club Hills,60478,7,202694671,ISD Renal Inc AKA DSI Renal Inc,For Profit Corporation,Shilon Williams,Dr. Kenneth Cline,Stenstrom Company,2420 20th Street,"Rockford, IL 61108",,,,,,,,,,,,,,,,,,,,35,4,5,1,1,0,0,2,13,"1 - Biomed
1- Administrative Assistant",24,24,24,24,24,24,24,240,385,3,3,1,3,1,3,1,0,No,0,15,8,15,8,15,8,0,34,11,33,12,33,10,55,53,66,19,13,1,3,1,4,23,0,1,9,55,13,1,11,0,1,81,0,0,0,8,5,13,12,6,18,19,15,34,6,10,16,45,36,81,3,0,67,1,5,2,78,3,78,0,81,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$12,499.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,769045.1,41836.17,1196015.2,1412078.67,,3418975.14,55,13,1,11,0,15840,1,,,,,,,,,,7817
14-2834,2023,Crystal Springs Dialysis,720 Cog Circle,Crystal Lake,60014,8,95-3372911,"Total Renal Care, Inc",For Profit Corporation,Stacia Riffe,Dr. Mandeep Gill,Satish Patel/APEX 720 LLC,1991 E. Higgins Road,"Elk Grove, IL 60007",,,,,,,,,,,,,,,,,,,,40,2,4,0.5,0.5,0,0,1.5,8.5,"Administrative Assistant
Facility Administrative 
BioMed",16,16,16,16,16,16,0,210,99,6,3,2,3,2,3,2,0,No,0,15,9,15,9,15,9,0,32,14,29,14,32,16,38,47,47,19,36,0,3,2,2,50,1,0,4,39,3,1,4,0,0,47,0,0,0,2,2,4,11,0,11,11,6,17,10,5,15,34,13,47,3,0,0,0,44,0,47,9,38,0,47,1/1/2023,12/31/2023,Audited Financial Statements,"$14,632.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1231883.02,34452.43,726404.87,731310.26,,2724050.58,39,3,1,4,0,0,0,,,,,,,,,,6567
14-2728,2023,"Danville Dialysis Services, L.L.C.",910 W. Clay Street,Danville,61832,4,37-1393669,"Danville Dialysis Services, L.L.C.",Limited Liability Company,Rita Casner,Brijnandan S. Sodhi,Dr. & Mrs. Brijnandan S. Sodhi,3608 N. Vermilion St.,"Danville, IL  61832",,,,,,,,,,,,,,,,,,,,32,8,8,0,1,0,0,2,19,2 Receptionists,19,19,19,19,19,19,0,201,553,3,3,3,3,3,3,3,0,No,0,12,12,12,12,12,12,0,42,25,37,23,36,29,66,64,86,14,5,0,1,0,3,9,0,0,11,78,5,3,,,,86,0,0,0,4,6,10,12,15,27,7,20,27,7,15,22,30,56,86,0,0,27,,59,,86,2,84,,86,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$37,127.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1579204.24,21666,1893265.62,,,3494135.86,78,5,3,0,0,0,0,,,,,,,,,,10130
14-2575,2023,Davita - Irving Park Dialysis,"4323 N Pulaski Rd.,",Chicago,60641,6,95-3372911,"Total Renal Care - Davita, Inc.",For Profit Corporation,Jon Rey Donghit,"Daniel Roseman, MD","Clark Street Real Estate, LLC","980 N Michicagn Ave., Suite 1280","Chicago, IL 60611",,,,,,,,,,,,,,,,,,,,40,3,5,1,1,0,1,2,13,"1 - Group Facility Administrator who is a nurse
1 - Administrative Assistant
1 - Biomedical Technician",14,14,14,14,14,14,1,195,289,3,3,2,3,2,3,2,0,No,0,15,11,15,11,15,11,0,32,20,32,15,32,19,56,51,98,26,15,0,1,3,5,34,0,0,5,43,10,23,16,,6,98,0,0,0,9,7,16,23,15,38,15,10,25,11,8,19,58,40,98,21,0,23,0,54,0,98,43,55,0,98,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$18,162.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,956289.61,169731.93,943792.87,1189086.15,,3258900.56,43,10,23,16,0,30240,6,,,,,,,,,,8202
